"county","race_ethnicity","pop"
"Alameda","American Indian or Alaska Native, Non-Hispanic",4569
"Alameda","Asian, Non-Hispanic",568612
"Alameda","Black, Non-Hispanic",157817
"Alameda","Hispanic (any race)",335452
"Alameda","Multiracial (two or more of above races), Non-Hispanic",88937
"Alameda","Native Hawaiian or Pacific Islander, Non-Hispanic",14710
"Alameda","White, Non-Hispanic",485940
"Alpine","American Indian or Alaska Native, Non-Hispanic",209
"Alpine","Asian, Non-Hispanic",13
"Alpine","Black, Non-Hispanic",14
"Alpine","Hispanic (any race)",116
"Alpine","Multiracial (two or more of above races), Non-Hispanic",78
"Alpine","Native Hawaiian or Pacific Islander, Non-Hispanic",0
"Alpine","White, Non-Hispanic",735
"Amador","American Indian or Alaska Native, Non-Hispanic",614
"Amador","Asian, Non-Hispanic",586
"Amador","Black, Non-Hispanic",1360
"Amador","Hispanic (any race)",6736
"Amador","Multiracial (two or more of above races), Non-Hispanic",2050
"Amador","Native Hawaiian or Pacific Islander, Non-Hispanic",83
"Amador","White, Non-Hispanic",28693
"Butte","American Indian or Alaska Native, Non-Hispanic",3005
"Butte","Asian, Non-Hispanic",10722
"Butte","Black, Non-Hispanic",3709
"Butte","Hispanic (any race)",47570
"Butte","Multiracial (two or more of above races), Non-Hispanic",13569
"Butte","Native Hawaiian or Pacific Islander, Non-Hispanic",833
"Butte","White, Non-Hispanic",126452
"Calaveras","American Indian or Alaska Native, Non-Hispanic",475
"Calaveras","Asian, Non-Hispanic",699
"Calaveras","Black, Non-Hispanic",350
"Calaveras","Hispanic (any race)",8314
"Calaveras","Multiracial (two or more of above races), Non-Hispanic",2676
"Calaveras","Native Hawaiian or Pacific Islander, Non-Hispanic",91
"Calaveras","White, Non-Hispanic",32000
"Colusa","American Indian or Alaska Native, Non-Hispanic",272
"Colusa","Asian, Non-Hispanic",239
"Colusa","Black, Non-Hispanic",189
"Colusa","Hispanic (any race)",14325
"Colusa","Multiracial (two or more of above races), Non-Hispanic",500
"Colusa","Native Hawaiian or Pacific Islander, Non-Hispanic",83
"Colusa","White, Non-Hispanic",6297
"Contra Costa","American Indian or Alaska Native, Non-Hispanic",2717
"Contra Costa","Asian, Non-Hispanic",229086
"Contra Costa","Black, Non-Hispanic",102468
"Contra Costa","Hispanic (any race)",271722
"Contra Costa","Multiracial (two or more of above races), Non-Hispanic",66910
"Contra Costa","Native Hawaiian or Pacific Islander, Non-Hispanic",6816
"Contra Costa","White, Non-Hispanic",466817
"Del Norte","American Indian or Alaska Native, Non-Hispanic",2032
"Del Norte","Asian, Non-Hispanic",827
"Del Norte","Black, Non-Hispanic",1095
"Del Norte","Hispanic (any race)",5672
"Del Norte","Multiracial (two or more of above races), Non-Hispanic",2132
"Del Norte","Native Hawaiian or Pacific Islander, Non-Hispanic",24
"Del Norte","White, Non-Hispanic",14600
"El Dorado","American Indian or Alaska Native, Non-Hispanic",1330
"El Dorado","Asian, Non-Hispanic",9075
"El Dorado","Black, Non-Hispanic",1585
"El Dorado","Hispanic (any race)",29332
"El Dorado","Multiracial (two or more of above races), Non-Hispanic",10778
"El Dorado","Native Hawaiian or Pacific Islander, Non-Hispanic",346
"El Dorado","White, Non-Hispanic",134839
"Fresno","American Indian or Alaska Native, Non-Hispanic",5860
"Fresno","Asian, Non-Hispanic",107158
"Fresno","Black, Non-Hispanic",41696
"Fresno","Hispanic (any race)",579387
"Fresno","Multiracial (two or more of above races), Non-Hispanic",26072
"Fresno","Native Hawaiian or Pacific Islander, Non-Hispanic",1489
"Fresno","White, Non-Hispanic",250762
"Glenn","American Indian or Alaska Native, Non-Hispanic",493
"Glenn","Asian, Non-Hispanic",619
"Glenn","Black, Non-Hispanic",153
"Glenn","Hispanic (any race)",12889
"Glenn","Multiracial (two or more of above races), Non-Hispanic",957
"Glenn","Native Hawaiian or Pacific Islander, Non-Hispanic",36
"Glenn","White, Non-Hispanic",12892
"Humboldt","American Indian or Alaska Native, Non-Hispanic",7062
"Humboldt","Asian, Non-Hispanic",3508
"Humboldt","Black, Non-Hispanic",1724
"Humboldt","Hispanic (any race)",25729
"Humboldt","Multiracial (two or more of above races), Non-Hispanic",9783
"Humboldt","Native Hawaiian or Pacific Islander, Non-Hispanic",495
"Humboldt","White, Non-Hispanic",86087
"Imperial","American Indian or Alaska Native, Non-Hispanic",1863
"Imperial","Asian, Non-Hispanic",3194
"Imperial","Black, Non-Hispanic",3270
"Imperial","Hispanic (any race)",153907
"Imperial","Multiracial (two or more of above races), Non-Hispanic",1727
"Imperial","Native Hawaiian or Pacific Islander, Non-Hispanic",91
"Imperial","White, Non-Hispanic",15587
"Inyo","American Indian or Alaska Native, Non-Hispanic",2089
"Inyo","Asian, Non-Hispanic",289
"Inyo","Black, Non-Hispanic",91
"Inyo","Hispanic (any race)",4948
"Inyo","Multiracial (two or more of above races), Non-Hispanic",938
"Inyo","Native Hawaiian or Pacific Islander, Non-Hispanic",15
"Inyo","White, Non-Hispanic",10361
"Kern","American Indian or Alaska Native, Non-Hispanic",4784
"Kern","Asian, Non-Hispanic",41543
"Kern","Black, Non-Hispanic",46276
"Kern","Hispanic (any race)",529286
"Kern","Multiracial (two or more of above races), Non-Hispanic",25730
"Kern","Native Hawaiian or Pacific Islander, Non-Hispanic",1168
"Kern","White, Non-Hispanic",254585
"Kings","American Indian or Alaska Native, Non-Hispanic",1351
"Kings","Asian, Non-Hispanic",4214
"Kings","Black, Non-Hispanic",7100
"Kings","Hispanic (any race)",102516
"Kings","Multiracial (two or more of above races), Non-Hispanic",3946
"Kings","Native Hawaiian or Pacific Islander, Non-Hispanic",344
"Kings","White, Non-Hispanic",32934
"Lake","American Indian or Alaska Native, Non-Hispanic",1643
"Lake","Asian, Non-Hispanic",927
"Lake","Black, Non-Hispanic",1089
"Lake","Hispanic (any race)",18994
"Lake","Multiracial (two or more of above races), Non-Hispanic",3918
"Lake","Native Hawaiian or Pacific Islander, Non-Hispanic",113
"Lake","White, Non-Hispanic",39762
"Lassen","American Indian or Alaska Native, Non-Hispanic",845
"Lassen","Asian, Non-Hispanic",474
"Lassen","Black, Non-Hispanic",2423
"Lassen","Hispanic (any race)",8451
"Lassen","Multiracial (two or more of above races), Non-Hispanic",1416
"Lassen","Native Hawaiian or Pacific Islander, Non-Hispanic",257
"Lassen","White, Non-Hispanic",14366
"Los Angeles","American Indian or Alaska Native, Non-Hispanic",21809
"Los Angeles","Asian, Non-Hispanic",1637181
"Los Angeles","Black, Non-Hispanic",840522
"Los Angeles","Hispanic (any race)",4089110
"Los Angeles","Multiracial (two or more of above races), Non-Hispanic",333522
"Los Angeles","Native Hawaiian or Pacific Islander, Non-Hispanic",24396
"Los Angeles","White, Non-Hispanic",2879168
"Madera","American Indian or Alaska Native, Non-Hispanic",1632
"Madera","Asian, Non-Hispanic",3514
"Madera","Black, Non-Hispanic",3984
"Madera","Hispanic (any race)",100894
"Madera","Multiracial (two or more of above races), Non-Hispanic",3902
"Madera","Native Hawaiian or Pacific Islander, Non-Hispanic",147
"Madera","White, Non-Hispanic",44384
"Marin","American Indian or Alaska Native, Non-Hispanic",729
"Marin","Asian, Non-Hispanic",17379
"Marin","Black, Non-Hispanic",8116
"Marin","Hispanic (any race)",39764
"Marin","Multiracial (two or more of above races), Non-Hispanic",14388
"Marin","Native Hawaiian or Pacific Islander, Non-Hispanic",587
"Marin","White, Non-Hispanic",173781
"Mariposa","American Indian or Alaska Native, Non-Hispanic",418
"Mariposa","Asian, Non-Hispanic",289
"Mariposa","Black, Non-Hispanic",134
"Mariposa","Hispanic (any race)",2761
"Mariposa","Multiracial (two or more of above races), Non-Hispanic",1189
"Mariposa","Native Hawaiian or Pacific Islander, Non-Hispanic",17
"Mariposa","White, Non-Hispanic",12052
"Mendocino","American Indian or Alaska Native, Non-Hispanic",3436
"Mendocino","Asian, Non-Hispanic",1803
"Mendocino","Black, Non-Hispanic",615
"Mendocino","Hispanic (any race)",25975
"Mendocino","Multiracial (two or more of above races), Non-Hispanic",4697
"Mendocino","Native Hawaiian or Pacific Islander, Non-Hispanic",125
"Mendocino","White, Non-Hispanic",52665
"Merced","American Indian or Alaska Native, Non-Hispanic",1126
"Merced","Asian, Non-Hispanic",18152
"Merced","Black, Non-Hispanic",7355
"Merced","Hispanic (any race)",193125
"Merced","Multiracial (two or more of above races), Non-Hispanic",5990
"Merced","Native Hawaiian or Pacific Islander, Non-Hispanic",560
"Merced","White, Non-Hispanic",59292
"Modoc","American Indian or Alaska Native, Non-Hispanic",344
"Modoc","Asian, Non-Hispanic",63
"Modoc","Black, Non-Hispanic",81
"Modoc","Hispanic (any race)",2341
"Modoc","Multiracial (two or more of above races), Non-Hispanic",354
"Modoc","Native Hawaiian or Pacific Islander, Non-Hispanic",12
"Modoc","White, Non-Hispanic",5251
"Mono","American Indian or Alaska Native, Non-Hispanic",193
"Mono","Asian, Non-Hispanic",202
"Mono","Black, Non-Hispanic",83
"Mono","Hispanic (any race)",3636
"Mono","Multiracial (two or more of above races), Non-Hispanic",528
"Mono","Native Hawaiian or Pacific Islander, Non-Hispanic",28
"Mono","White, Non-Hispanic",8603
"Monterey","American Indian or Alaska Native, Non-Hispanic",1508
"Monterey","Asian, Non-Hispanic",26280
"Monterey","Black, Non-Hispanic",10611
"Monterey","Hispanic (any race)",256581
"Monterey","Multiracial (two or more of above races), Non-Hispanic",14254
"Monterey","Native Hawaiian or Pacific Islander, Non-Hispanic",2072
"Monterey","White, Non-Hispanic",125170
"Napa","American Indian or Alaska Native, Non-Hispanic",555
"Napa","Asian, Non-Hispanic",11244
"Napa","Black, Non-Hispanic",2797
"Napa","Hispanic (any race)",43155
"Napa","Multiracial (two or more of above races), Non-Hispanic",6035
"Napa","Native Hawaiian or Pacific Islander, Non-Hispanic",416
"Napa","White, Non-Hispanic",70282
"Nevada","American Indian or Alaska Native, Non-Hispanic",689
"Nevada","Asian, Non-Hispanic",1387
"Nevada","Black, Non-Hispanic",500
"Nevada","Hispanic (any race)",13551
"Nevada","Multiracial (two or more of above races), Non-Hispanic",5552
"Nevada","Native Hawaiian or Pacific Islander, Non-Hispanic",134
"Nevada","White, Non-Hispanic",78587
"Orange","American Indian or Alaska Native, Non-Hispanic",5767
"Orange","Asian, Non-Hispanic",733549
"Orange","Black, Non-Hispanic",52335
"Orange","Hispanic (any race)",983926
"Orange","Multiracial (two or more of above races), Non-Hispanic",127552
"Orange","Native Hawaiian or Pacific Islander, Non-Hispanic",8615
"Orange","White, Non-Hispanic",1230533
"Placer","American Indian or Alaska Native, Non-Hispanic",1961
"Placer","Asian, Non-Hispanic",36629
"Placer","Black, Non-Hispanic",7010
"Placer","Hispanic (any race)",75401
"Placer","Multiracial (two or more of above races), Non-Hispanic",24142
"Placer","Native Hawaiian or Pacific Islander, Non-Hispanic",1001
"Placer","White, Non-Hispanic",264562
"Plumas","American Indian or Alaska Native, Non-Hispanic",338
"Plumas","Asian, Non-Hispanic",164
"Plumas","Black, Non-Hispanic",129
"Plumas","Hispanic (any race)",3282
"Plumas","Multiracial (two or more of above races), Non-Hispanic",993
"Plumas","Native Hawaiian or Pacific Islander, Non-Hispanic",44
"Plumas","White, Non-Hispanic",14005
"Riverside","American Indian or Alaska Native, Non-Hispanic",12197
"Riverside","Asian, Non-Hispanic",173488
"Riverside","Black, Non-Hispanic",149476
